rank,title,year,genre,language,flickmetrix_score,imdb_100,imdb_votes,metacritic,critic_rating_rt,critic_reviews,audience_rating,audience_reviews,letterboxd,letterboxd_votes,google_score,imdbid,custom_score,score_diff
185,almost famous,2000,drama music,english,83.0,79.0,302521,90.0,83.0,121,87.0,382637,82,496969,86.0,tt0181875,84.5,4.0
186,song of the sea,2014,family animation fantasy,english,84.0,80.0,65443,85.0,84.0,71,89.0,42155,84,101315,85.0,tt1865505,84.5,5.0
187,before sunrise,1995,drama romance,english,84.0,81.0,356358,79.0,83.0,51,89.0,370547,86,963660,89.0,tt0112471,84.5,6.0
188,blade runner,1982,science fiction drama thriller,english,84.0,81.0,849918,84.0,85.0,117,88.0,587241,82,1083638,87.0,tt0083658,84.5,3.0
189,boyhood,2014,drama,english,85.0,79.0,374552,100.0,95.0,252,78.0,234140,76,522064,79.0,tt1065073,84.5,17.0
190,moonlight,2016,drama,english,85.0,74.0,340819,99.0,92.0,265,77.0,402939,84,1115696,80.0,tt4975722,84.33,15.0
191,room,2015,drama thriller,english,83.0,81.0,465914,86.0,85.0,225,89.0,262276,80,686364,85.0,tt3170832,84.33,4.0
192,the big sleep,1946,mystery crime thriller,english,84.0,79.0,92865,86.0,88.0,52,87.0,45927,80,70518,86.0,tt0038355,84.33,1.0
193,his girl friday,1940,comedy romance,english,83.0,78.0,65318,87.0,92.0,62,86.0,47826,80,94657,85.0,tt0032599,84.2,6.0
194,all about my mother,1999,comedy drama,spanish,83.0,78.0,106182,87.0,83.0,57,88.0,102959,84,204213,85.0,tt0185125,84.17,5.0
195,network,1976,drama,english,83.0,81.0,178013,83.0,85.0,57,89.0,78540,86,162520,81.0,tt0074958,84.17,4.0
196,oldboy,2003,drama thriller mystery action,korean,83.0,83.0,673464,78.0,75.0,128,91.0,428547,88,1016835,90.0,tt0364569,84.17,16.0
197,the triplets of belleville,2003,animation comedy drama family,french,83.0,77.0,58151,91.0,84.0,85,86.0,44514,80,52924,87.0,tt0286244,84.17,2.0
198,a prophet,2009,crime drama,french,84.0,78.0,104716,90.0,85.0,118,85.0,36995,84,60869,83.0,tt1235166,84.17,0.0
199,slumdog millionaire,2008,drama romance,english,84.0,80.0,893294,84.0,84.0,162,86.0,940532,78,509273,93.0,tt1010048,84.17,2.0
200,paddington 2,2017,adventure comedy family,english,84.0,78.0,104591,88.0,87.0,183,84.0,170554,84,492384,84.0,tt4468740,84.17,3.0
201,my fair lady,1964,music comedy romance drama,english,83.0,77.0,104578,95.0,89.0,54,86.0,154784,72,89861,86.0,tt0058385,84.17,3.0
202,the sting,1973,comedy crime drama,english,83.0,83.0,288739,83.0,84.0,69,91.0,88454,84,141404,80.0,tt0070735,84.17,7.0
203,all quiet on the western front,1930,drama war,english,84.0,81.0,69684,91.0,92.0,56,86.0,29586,84,52395,70.0,tt0020629,84.0,6.0
204,the brutalist,2024,drama,english,84.0,75.0,68946,90.0,88.0,175,87.0,198274,80,544891,87.0,tt8999762,84.0,1.0
205,her,2013,romance science fiction drama,english,84.0,80.0,698369,91.0,87.0,247,81.0,634081,80,1696987,85.0,tt1798709,84.0,6.0
206,the secret in their eyes,2009,mystery thriller drama,spanish,83.0,82.0,231256,80.0,78.0,110,89.0,60610,84,124396,91.0,tt1305806,84.0,11.0
207,the elephant man,1980,drama history,english,83.0,82.0,271067,78.0,83.0,62,89.0,138788,86,286846,86.0,tt0080678,84.0,6.0
208,aladdin,1992,animation family adventure fantasy romance,english,83.0,80.0,484201,86.0,85.0,78,88.0,875875,78,746788,87.0,tt0103639,84.0,3.0
209,ford v ferrari,2019,drama action history,english,82.0,81.0,516895,81.0,79.0,217,93.0,266066,80,722735,90.0,tt1950186,84.0,14.0
210,three billboards outside ebbing missouri,2017,crime drama,english,84.0,81.0,579561,88.0,85.0,282,85.0,246227,80,690960,85.0,tt5027774,84.0,0.0
211,halloween,1978,horror thriller,english,84.0,77.0,321821,90.0,87.0,102,85.0,478658,76,826218,89.0,tt0077651,84.0,2.0
212,a clockwork orange,1971,science fiction crime,english,83.0,82.0,907799,77.0,85.0,94,90.0,649103,82,1071687,87.0,tt0066921,83.83,5.0
213,the graduate,1967,drama romance comedy,english,84.0,80.0,295545,83.0,88.0,76,86.0,249780,82,381526,84.0,tt0061722,83.83,2.0
214,full metal jacket,1987,drama war,english,83.0,82.0,816985,78.0,82.0,70,90.0,461701,84,734317,87.0,tt0093058,83.83,8.0
215,good will hunting,1997,drama,english,83.0,83.0,1128522,71.0,79.0,70,91.0,846429,86,1807181,93.0,tt0119217,83.83,12.0
216,inception,2010,action science fiction adventure,english,83.0,88.0,2666368,74.0,80.0,241,89.0,1315019,84,2796491,88.0,tt1375666,83.83,9.0
217,eyes without a face,1960,drama horror thriller,french,83.0,76.0,37018,90.0,85.0,52,84.0,47152,78,122339,90.0,tt0053459,83.83,1.0
218,king kong,1933,adventure fantasy horror,english,84.0,79.0,93320,92.0,91.0,87,83.0,91336,76,93284,82.0,tt0024216,83.83,8.0
219,the boy and the heron,2023,animation adventure fantasy family drama,japanese,83.0,74.0,91799,91.0,87.0,151,87.0,310942,78,925249,89.0,tt6587046,83.8,0.0
220,the holdovers,2023,comedy drama,english,84.0,79.0,196289,82.0,85.0,204,87.0,387674,84,1152636,89.0,tt14849194,83.8,2.0
221,sinners,2025,horror thriller,english,84.0,81.0,92445,84.0,86.0,195,87.0,198274,84,1063065,86.0,tt31193180,83.75,1.0
222,harry potter and the deathly hallows part 2,2011,fantasy adventure,english,83.0,81.0,990703,85.0,84.0,187,87.0,739552,80,1431230,85.0,tt1201607,83.67,3.0
223,boogie nights,1997,drama,english,83.0,79.0,290090,86.0,82.0,62,85.0,274867,84,444602,86.0,tt0118749,83.67,3.0
224,the hurt locker,2008,drama thriller war,english,84.0,75.0,483381,95.0,88.0,198,81.0,147838,76,250506,87.0,tt0887912,83.67,7.0
225,dead poets society,1989,drama,english,82.0,81.0,585470,79.0,74.0,51,89.0,813805,86,1825679,93.0,tt0097165,83.67,15.0
226,the nightmare before christmas,1993,fantasy animation family,english,83.0,79.0,393679,82.0,84.0,91,87.0,1008679,80,1265746,90.0,tt0107688,83.67,3.0
227,avengers endgame,2019,adventure science fiction action,english,83.0,84.0,1344334,78.0,81.0,317,88.0,856561,78,2410586,93.0,tt4154796,83.67,7.0
228,rrr,2022,action adventure drama,telugu,84.0,78.0,177734,83.0,83.0,67,87.0,95355,84,279475,90.0,tt8178634,83.6,4.0
229,drive my car,2021,drama,japanese,83.0,75.0,72039,91.0,88.0,139,87.0,108261,84,322596,80.0,tt14039582,83.6,1.0
230,children of men,2006,drama action thriller science fiction,english,84.0,79.0,545472,84.0,82.0,160,82.0,547568,86,579387,88.0,tt0206634,83.5,0.0
231,y tu mamá también,2001,drama romance,spanish,83.0,77.0,133724,89.0,83.0,106,84.0,139298,84,278042,84.0,tt0245574,83.5,1.0
232,close encounters of the third kind,1977,science fiction drama,english,84.0,76.0,224473,90.0,90.0,95,82.0,174410,76,238295,87.0,tt0075860,83.5,8.0
233,the usual suspects,1995,drama crime thriller,english,82.0,85.0,1183910,76.0,78.0,62,92.0,493378,82,608644,88.0,tt0114814,83.5,14.0
234,the hunt,2012,drama,danish,82.0,83.0,385419,77.0,76.0,64,90.0,132458,86,397376,89.0,tt2106476,83.5,14.0
235,fantasia,1940,animation family fantasy,english,84.0,77.0,107375,96.0,89.0,51,80.0,164075,78,233257,81.0,tt0032455,83.5,9.0
236,kill bill vol 2,2004,action crime thriller,english,83.0,80.0,833912,83.0,79.0,163,86.0,928375,82,1100503,91.0,tt0378194,83.5,7.0
237,brazil,1985,comedy science fiction,english,83.0,78.0,215804,84.0,87.0,75,86.0,136795,82,203811,84.0,tt0088846,83.5,1.0
238,one cut of the dead,2017,comedy horror drama,japanese,83.0,76.0,32571,86.0,86.0,74,84.0,39772,82,118048,87.0,tt7914416,83.5,2.0
239,monster,2023,mystery thriller drama,japanese,84.0,78.0,34095,79.0,81.0,100,87.0,93798,86,280888,93.0,tt23736044,83.4,6.0
240,perfect days,2023,drama,japanese,84.0,79.0,79707,80.0,82.0,115,87.0,175773,86,526385,90.0,tt27503384,83.4,5.0
241,robot dreams,2023,animation drama comedy science fiction,spanish,83.0,76.0,20523,87.0,85.0,89,87.0,61360,82,183822,87.0,tt13429870,83.4,2.0
242,the incredibles,2004,action adventure animation family,english,85.0,80.0,849428,90.0,86.0,150,75.0,22277024,82,1622816,87.0,tt0317705,83.33,11.0
243,stand by me,1986,crime drama,english,82.0,81.0,461130,75.0,79.0,55,90.0,437767,84,771437,91.0,tt0092005,83.33,11.0
244,goldfinger,1964,adventure action thriller,english,83.0,77.0,208399,87.0,87.0,58,85.0,193600,76,165532,88.0,tt0058150,83.33,2.0
245,manchester by the sea,2016,drama,english,84.0,78.0,330251,96.0,90.0,241,77.0,258451,82,673804,77.0,tt4034228,83.33,13.0
246,frankenstein,1931,drama horror science fiction,english,83.0,78.0,83138,91.0,89.0,67,84.0,55846,76,155858,82.0,tt0021884,83.33,5.0
247,before midnight,2013,romance drama,english,84.0,79.0,178527,94.0,89.0,168,80.0,160109,80,404845,78.0,tt2209418,83.33,9.0
248,man on wire,2008,documentary,english,83.0,77.0,59645,89.0,85.0,103,83.0,33830,78,41086,88.0,tt1155592,83.33,2.0
249,american beauty,1999,drama,english,82.0,83.0,1244248,84.0,83.0,118,89.0,743082,80,906361,81.0,tt0169547,83.33,6.0
250,the princess bride,1987,adventure family fantasy comedy romance,english,82.0,80.0,463935,78.0,83.0,81,89.0,586715,82,703277,87.0,tt0093779,83.17,6.0
251,deep red,1975,horror mystery thriller,italian,83.0,75.0,44979,89.0,85.0,60,84.0,41285,78,100209,88.0,tt0073582,83.17,1.0
252,mary and max,2009,animation comedy drama,english,83.0,81.0,194996,72.0,80.0,63,88.0,63451,86,139756,92.0,tt0978762,83.17,8.0
253,dunkirk,2017,war action drama,english,84.0,78.0,769404,94.0,89.0,303,79.0,525161,76,1433980,83.0,tt5013056,83.17,10.0
254,heat,1995,crime drama action,english,82.0,83.0,749997,76.0,78.0,101,90.0,378101,86,688200,86.0,tt0113277,83.17,12.0
255,pride  prejudice,2005,drama romance,english,82.0,78.0,348415,82.0,78.0,96,87.0,707510,82,1202164,92.0,tt0414387,83.17,9.0
256,repulsion,1965,drama thriller horror,english,83.0,76.0,59375,91.0,90.0,52,83.0,39850,78,81167,81.0,tt0059646,83.17,7.0
257,capernaum,2018,drama,arabic,82.0,84.0,114819,75.0,77.0,108,89.0,33107,84,96419,90.0,tt8267604,83.17,12.0
258,mulholland drive,2001,thriller drama mystery,english,83.0,79.0,404168,87.0,80.0,156,84.0,396635,86,810417,83.0,tt0166924,83.17,4.0
259,lost in translation,2003,drama romance comedy,english,83.0,77.0,508646,91.0,86.0,137,82.0,580822,76,1066082,87.0,tt0335266,83.17,4.0
260,all the presidents men,1976,drama history mystery thriller,english,83.0,79.0,130574,84.0,89.0,61,88.0,83353,84,149021,75.0,tt0074119,83.17,1.0
261,amores perros,2000,drama thriller,spanish,82.0,80.0,262066,83.0,79.0,81,89.0,127741,84,174338,84.0,tt0245712,83.17,10.0
262,the umbrellas of cherbourg,1964,drama romance,french,83.0,78.0,32989,86.0,88.0,55,83.0,52926,82,138924,82.0,tt0058450,83.17,5.0
263,nine queens,2000,crime thriller drama,spanish,82.0,79.0,59346,80.0,76.0,55,90.0,31616,82,66882,92.0,tt0247586,83.17,14.0
264,nashville,1975,drama music comedy,english,83.0,76.0,29656,96.0,90.0,75,81.0,25045,84,54825,72.0,tt0073440,83.17,9.0
265,1917,2019,war history thriller drama,english,83.0,82.0,722017,78.0,82.0,295,86.0,523306,82,1473895,89.0,tt8579674,83.17,4.0
266,interstellar,2014,adventure drama science fiction,english,82.0,87.0,2317550,74.0,72.0,250,85.0,1339544,88,3653428,92.0,tt0816692,83.0,13.0
267,monsters inc,2001,animation comedy family,english,82.0,81.0,1020910,79.0,81.0,129,87.0,1370738,82,1602939,88.0,tt0198781,83.0,6.0
268,die hard,1988,action thriller,english,82.0,82.0,985232,72.0,83.0,76,90.0,676199,82,877027,89.0,tt0095016,83.0,7.0
269,thelma  louise,1991,drama thriller crime adventure,english,83.0,76.0,182168,89.0,82.0,93,80.0,233243,84,358609,87.0,tt0103074,83.0,2.0
270,winter sleep,2014,drama,turkish,83.0,80.0,57337,88.0,84.0,70,81.0,18662,84,44413,81.0,tt2758880,83.0,3.0
271,brokeback mountain,2005,drama romance,english,83.0,77.0,399071,87.0,83.0,148,81.0,679747,82,998353,88.0,tt0388795,83.0,2.0
272,fight club,1999,drama,english,81.0,88.0,2444413,67.0,72.0,120,93.0,1908799,86,3533146,92.0,tt0137523,83.0,21.0
273,the fugitive,1993,action thriller drama,english,82.0,78.0,331366,87.0,83.0,58,85.0,249088,78,210713,87.0,tt0106977,83.0,2.0
274,searching for sugar man,2012,music documentary,english,82.0,82.0,74554,79.0,80.0,105,88.0,32711,82,59199,87.0,tt2125608,83.0,8.0
275,knives out,2019,comedy crime mystery,english,82.0,79.0,812389,82.0,83.0,292,88.0,1010904,80,2915105,86.0,tt8946378,83.0,5.0
276,donnie darko,2001,fantasy drama mystery,english,83.0,80.0,878010,88.0,80.0,129,79.0,21170832,80,1543362,91.0,tt0246578,83.0,1.0
277,minari,2020,drama,english,83.0,74.0,103373,89.0,88.0,191,87.0,151806,82,450850,82.0,tt10633456,83.0,1.0
278,citizenfour,2014,documentary,english,83.0,80.0,58960,88.0,84.0,101,84.0,28783,80,45653,82.0,tt4044364,83.0,0.0
279,flee,2021,documentary animation,danish,83.0,79.0,20464,91.0,87.0,114,87.0,25799,84,76686,74.0,tt8430054,83.0,0.0
280,hell or high water,2016,western crime drama,english,83.0,76.0,263679,88.0,86.0,178,84.0,124126,78,290820,86.0,tt2582782,83.0,2.0
281,moonrise kingdom,2012,comedy drama romance,english,83.0,78.0,373550,84.0,83.0,193,83.0,380053,80,859763,90.0,tt1748122,83.0,0.0
282,being john malkovich,1999,comedy drama fantasy,english,83.0,77.0,361221,90.0,85.0,97,83.0,311216,82,407637,81.0,tt0120601,83.0,2.0
283,rushmore,1998,comedy drama,english,82.0,76.0,202326,87.0,83.0,81,86.0,248947,78,373878,87.0,tt0128445,82.83,3.0
284,the king of kong a fistful of quarters,2007,documentary,english,81.0,80.0,38102,83.0,82.0,67,89.0,30025,80,31535,83.0,tt0923752,82.83,7.0
285,life of brian,1979,comedy,english,82.0,80.0,427854,77.0,82.0,51,89.0,278190,80,316121,89.0,tt0079470,82.83,7.0
286,the wind rises,2013,drama animation romance war history,japanese,83.0,78.0,105398,83.0,81.0,127,83.0,133289,82,353433,90.0,tt2013293,82.83,2.0
287,bonnie and clyde,1967,crime drama,english,82.0,77.0,124188,86.0,85.0,51,84.0,79491,78,124995,87.0,tt0061418,82.83,1.0
288,sing street,2016,romance drama music comedy,english,82.0,79.0,104227,79.0,80.0,154,88.0,102191,80,272265,91.0,tt3544112,82.83,8.0
289,about elly,2009,drama,persian,83.0,79.0,58907,87.0,83.0,59,81.0,17593,82,37114,85.0,tt1360860,82.83,2.0
290,hotel rwanda,2004,drama history war,english,82.0,81.0,382301,79.0,80.0,107,89.0,198334,76,111662,92.0,tt0395169,82.83,9.0
291,the florida project,2017,drama,english,84.0,76.0,138468,92.0,89.0,201,78.0,269777,82,781527,80.0,tt5649144,82.83,11.0
292,gods own country,2017,romance drama,english,82.0,76.0,38105,85.0,81.0,79,84.0,39645,80,109702,91.0,tt5635086,82.83,3.0
293,get out,2017,mystery thriller horror,english,83.0,78.0,753306,85.0,84.0,250,83.0,1085375,82,3098595,85.0,tt5052448,82.83,1.0
294,amélie,2001,comedy romance,french,82.0,83.0,815152,70.0,79.0,124,91.0,621390,84,925105,90.0,tt0211915,82.83,12.0
295,the farewell,2019,comedy drama,english,83.0,75.0,73622,89.0,86.0,190,83.0,103916,82,299538,82.0,tt8637428,82.83,3.0
296,soul,2020,animation family comedy fantasy,english,82.0,80.0,405577,83.0,83.0,148,86.0,576362,78,1712850,87.0,tt2948372,82.83,3.0
297,high noon,1952,western drama,english,82.0,79.0,113131,89.0,88.0,63,86.0,40999,80,71815,75.0,tt0044706,82.83,2.0
298,fantastic mr fox,2009,adventure animation comedy family,english,83.0,79.0,283948,83.0,80.0,170,83.0,705851,86,1810535,86.0,tt0432283,82.83,3.0
299,the second mother,2015,drama,portuguese,82.0,78.0,18170,82.0,81.0,64,87.0,37837,84,109131,85.0,tt3742378,82.83,6.0
300,godzilla minus one,2023,science fiction horror action,japanese,83.0,77.0,166961,81.0,84.0,132,87.0,237844,82,692084,90.0,tt23289160,82.8,3.0
301,nosferatu,1922,horror fantasy,german,81.0,78.0,118037,87.0,91.0,76,84.0,142118,76,329860,85.0,tt0013442,82.8,7.0
302,la chimera,2023,drama fantasy comedy,italian,82.0,73.0,16724,91.0,84.0,85,87.0,64020,82,192062,84.0,tt14561712,82.8,3.0
303,the worst person in the world,2021,drama romance comedy,norwegian,83.0,77.0,109990,91.0,88.0,153,87.0,220149,82,658493,76.0,tt10370710,82.8,1.0
304,carol,2015,romance drama,english,84.0,73.0,148047,94.0,88.0,210,74.0,185804,80,496700,87.0,tt2402927,82.67,14.0
305,hunt for the wilderpeople,2016,adventure comedy drama,english,82.0,78.0,147301,81.0,80.0,131,87.0,120665,82,311081,88.0,tt4698684,82.67,7.0
306,once,2006,drama music romance,english,82.0,78.0,123059,90.0,85.0,109,86.0,158469,78,93064,79.0,tt0907657,82.67,1.0
307,shrek,2001,animation comedy fantasy adventure family,english,82.0,79.0,767731,84.0,80.0,122,86.0,1511622,82,1777380,85.0,tt0126029,82.67,6.0
308,the wrestler,2008,drama romance,english,83.0,79.0,324931,80.0,84.0,153,84.0,155576,82,185017,87.0,tt1125849,82.67,0.0
309,the artist,2011,drama comedy romance,french,82.0,78.0,251867,89.0,88.0,243,84.0,88332,76,147420,81.0,tt1655442,82.67,4.0
310,mr smith goes to washington,1939,comedy drama,english,82.0,81.0,125223,73.0,81.0,61,90.0,50349,82,59111,89.0,tt0031679,82.67,9.0
311,hero,2002,drama adventure action history,chinese,82.0,79.0,190396,85.0,83.0,114,84.0,197619,80,93431,85.0,tt0299977,82.67,1.0
312,the shining,1980,horror thriller,english,82.0,84.0,1159459,68.0,82.0,121,90.0,1061936,84,2218109,88.0,tt0081505,82.67,8.0
313,exit through the gift shop,2010,documentary,english,82.0,79.0,69834,85.0,82.0,91,87.0,35498,78,56964,85.0,tt1587707,82.67,5.0
314,let the right one in,2008,horror drama,swedish,82.0,78.0,232716,82.0,83.0,175,86.0,104611,80,190294,87.0,tt1139797,82.67,3.0
315,anora,2024,drama comedy romance,english,82.0,76.0,150547,91.0,87.0,193,87.0,198274,78,1494086,81.0,tt28607951,82.6,0.0
316,close,2022,drama,french,83.0,78.0,42931,81.0,83.0,90,87.0,120210,82,359461,89.0,tt9660502,82.6,4.0
317,the banshees of inisherin,2022,drama comedy,english,83.0,77.0,277579,87.0,87.0,220,87.0,343964,82,1020113,80.0,tt11813216,82.6,0.0
318,little miss sunshine,2006,comedy drama,english,81.0,78.0,534824,80.0,79.0,136,87.0,765429,84,1440499,87.0,tt0449059,82.5,8.0
319,who framed roger rabbit,1988,fantasy animation comedy crime,english,83.0,77.0,224493,83.0,85.0,60,81.0,407748,80,336854,89.0,tt0096438,82.5,4.0
320,ponyo,2008,animation fantasy family,japanese,82.0,76.0,173372,86.0,79.0,103,81.0,346409,82,843361,91.0,tt0876563,82.5,2.0
321,quiz show,1994,history drama mystery,english,82.0,75.0,75122,92.0,86.0,58,83.0,36625,76,46508,83.0,tt0110932,82.5,3.0
322,snow white and the seven dwarfs,1937,fantasy animation family,english,82.0,76.0,229319,96.0,90.0,79,87.0,454795,68,422740,82.0,tt0029583,82.4,3.0
323,se7en,1995,crime mystery thriller,english,81.0,86.0,1895482,65.0,74.0,96,92.0,1066629,86,2259303,91.0,tt0114369,82.33,18.0
324,the bourne ultimatum,2007,action drama mystery thriller,english,81.0,80.0,669722,85.0,81.0,163,86.0,1363138,74,243104,88.0,tt0440963,82.33,5.0
325,this is england,2006,drama crime,english,81.0,77.0,131520,86.0,79.0,71,86.0,68178,82,94846,84.0,tt0480025,82.33,7.0
326,short term 12,2013,drama,english,81.0,79.0,93484,82.0,84.0,123,88.0,58097,84,131005,77.0,tt2370248,82.33,4.0
327,casino royale,2006,adventure action thriller,english,82.0,80.0,714725,80.0,79.0,151,85.0,691353,80,663848,90.0,tt0381061,82.33,6.0
328,anatomy of a fall,2023,thriller mystery crime,french,82.0,76.0,171286,86.0,85.0,170,87.0,397269,82,1188175,82.0,tt17009710,82.2,2.0
329,petite maman,2021,drama fantasy family,french,82.0,74.0,19348,93.0,89.0,128,87.0,42982,82,128593,73.0,tt13204490,82.2,2.0
330,another round,2020,comedy drama,danish,81.0,77.0,211260,79.0,79.0,149,87.0,180599,82,538911,89.0,tt10288566,82.17,8.0
331,roma,2018,drama,spanish,84.0,77.0,173824,96.0,92.0,250,73.0,141177,82,411571,73.0,tt6155172,82.17,19.0
332,roman holiday,1953,romance comedy drama,english,81.0,80.0,151851,78.0,83.0,58,89.0,108625,84,198567,79.0,tt0046250,82.17,6.0
333,the matrix,1999,action science fiction,english,82.0,87.0,2141445,73.0,76.0,130,84.0,22870385,84,1962752,89.0,tt0133093,82.17,8.0
334,brooklyn,2015,romance drama history,english,82.0,75.0,154679,88.0,86.0,172,83.0,98812,76,202318,85.0,tt2381111,82.17,3.0
335,letters from iwo jima,2006,action drama war,english,82.0,78.0,173297,89.0,84.0,129,83.0,245983,78,55455,81.0,tt0498380,82.17,1.0
336,harry potter and the prisoner of azkaban,2004,adventure fantasy,english,82.0,79.0,724666,82.0,79.0,156,84.0,1415939,82,1907407,87.0,tt0304141,82.17,5.0
337,talk to her,2002,drama romance,spanish,81.0,79.0,119714,86.0,82.0,71,88.0,64196,78,86386,80.0,tt0287467,82.17,6.0
338,shaun of the dead,2004,horror comedy,english,81.0,79.0,616400,76.0,78.0,147,88.0,640908,80,923980,92.0,tt0365748,82.17,10.0
339,pain and glory,2019,drama,spanish,81.0,75.0,65351,87.0,84.0,183,86.0,50524,82,148033,79.0,tt8291806,82.17,2.0
340,the exorcist,1973,horror,english,82.0,81.0,474628,83.0,85.0,124,84.0,529464,80,745296,79.0,tt0070047,82.0,1.0
341,wild tales,2014,drama thriller comedy,spanish,81.0,81.0,226824,77.0,79.0,124,88.0,76384,82,199938,85.0,tt3011894,82.0,9.0
342,gravity,2013,science fiction thriller drama,english,82.0,77.0,879467,96.0,92.0,304,78.0,441081,70,715076,79.0,tt1454468,82.0,14.0
343,freaks,1932,drama horror,english,82.0,78.0,52529,80.0,85.0,56,85.0,45243,78,86537,86.0,tt0022913,82.0,0.0
344,mother,2009,crime drama mystery,korean,81.0,77.0,75873,79.0,79.0,92,85.0,59945,84,147147,88.0,tt1216496,82.0,6.0
345,mustang,2015,drama,turkish,81.0,76.0,41838,83.0,82.0,115,85.0,38286,84,97313,82.0,tt3966404,82.0,3.0
346,everything everywhere all at once,2022,action adventure science fiction,english,82.0,78.0,577409,81.0,85.0,246,87.0,1022591,86,3026289,80.0,tt6710474,82.0,2.0
347,poor things,2023,science fiction romance comedy,english,82.0,78.0,334198,88.0,86.0,223,87.0,673949,80,2009015,78.0,tt14230458,82.0,1.0
348,cold war,2018,romance music drama,polish,82.0,75.0,63652,90.0,85.0,163,78.0,52289,80,152837,83.0,tt6543652,81.83,7.0
349,zero dark thirty,2012,thriller drama,english,82.0,74.0,329226,95.0,88.0,238,77.0,205063,74,219887,83.0,tt1790885,81.83,11.0
350,jurassic park,1993,adventure science fiction,english,81.0,82.0,1111146,68.0,81.0,100,88.0,1217265,82,1503381,90.0,tt0107290,81.83,7.0
351,mission impossible  fallout,2018,action adventure,english,81.0,77.0,392851,87.0,85.0,265,84.0,192557,80,542008,78.0,tt4912910,81.83,1.0
352,american graffiti,1973,comedy drama,english,82.0,74.0,101611,97.0,88.0,51,80.0,81508,74,114804,78.0,tt0069704,81.83,8.0
353,house of flying daggers,2004,adventure drama action,chinese,82.0,75.0,117784,89.0,80.0,115,79.0,161234,76,47680,92.0,tt0385004,81.83,1.0
354,volver,2006,comedy drama romance,spanish,81.0,76.0,109883,84.0,80.0,97,85.0,96864,82,146336,84.0,tt0441909,81.83,5.0
355,inside llewyn davis,2013,drama music,english,83.0,74.0,167445,93.0,87.0,211,73.0,137057,80,320530,84.0,tt2042568,81.83,14.0
356,sound of metal,2020,drama music,english,81.0,77.0,159056,82.0,82.0,172,87.0,222621,84,662768,79.0,tt5363618,81.83,5.0
357,dallas buyers club,2013,drama history,english,81.0,79.0,533167,77.0,78.0,186,88.0,229781,80,502641,89.0,tt0790636,81.83,10.0
358,the martian,2015,drama adventure science fiction,english,81.0,80.0,963094,80.0,79.0,270,87.0,508376,76,1260464,89.0,tt3659388,81.83,8.0
359,casino,1995,crime drama,english,80.0,82.0,588163,73.0,72.0,51,89.0,358364,84,503194,91.0,tt0112641,81.83,17.0
360,peeping tom,1960,thriller horror drama,english,81.0,76.0,41700,87.0,88.0,51,82.0,36186,80,80602,83.0,tt0054167,81.8,6.0
361,black swan,2010,drama thriller horror,english,82.0,80.0,854775,79.0,81.0,266,82.0,812102,84,2078477,84.0,tt0947798,81.67,1.0
362,mean streets,1973,drama crime,english,82.0,72.0,123587,96.0,89.0,50,80.0,95545,74,176591,79.0,tt0070379,81.67,9.0
363,isle of dogs,2018,adventure comedy animation,english,81.0,78.0,198804,82.0,81.0,224,85.0,275699,80,807747,84.0,tt5104604,81.67,4.0
364,pinocchio,1940,animation family fantasy,english,83.0,75.0,165547,99.0,93.0,56,72.0,285349,70,296159,81.0,tt0032910,81.67,21.0
365,et the extraterrestrial,1982,science fiction adventure family fantasy,english,84.0,79.0,451751,92.0,92.0,103,72.0,21844819,76,905759,79.0,tt0083866,81.67,20.0
366,how to train your dragon,2010,fantasy adventure animation family,english,81.0,81.0,837460,75.0,78.0,123,87.0,582145,82,1118520,87.0,tt0892769,81.67,9.0
367,inglourious basterds,2009,drama thriller war,english,81.0,84.0,1668156,69.0,77.0,217,86.0,1301365,86,2348648,88.0,tt0361748,81.67,9.0
368,godzilla,1954,thriller horror science fiction,japanese,81.0,76.0,42778,79.0,78.0,64,85.0,48898,80,126402,92.0,tt0047034,81.67,7.0
369,hot fuzz,2007,crime action comedy,english,81.0,78.0,549902,81.0,78.0,144,85.0,623784,82,738270,86.0,tt0425112,81.67,7.0
370,the texas chain saw massacre,1974,horror,english,82.0,74.0,196563,91.0,84.0,96,79.0,349352,76,641273,86.0,tt0072271,81.67,5.0
371,dawn of the dead,1978,horror,english,82.0,78.0,132343,71.0,83.0,60,86.0,188411,80,155030,92.0,tt0077402,81.67,3.0
372,guillermo del toros pinocchio,2022,animation fantasy drama adventure family music,english,82.0,76.0,120092,79.0,82.0,169,87.0,192647,80,570228,91.0,tt1488589,81.6,5.0
373,breathless,1960,drama crime,french,80.0,77.0,90735,87.0,87.0,65,86.0,98209,78,216481,80.0,tt0053472,81.6,1.0
374,hundreds of beavers,2024,comedy adventure action,english,82.0,76.0,11940,82.0,83.0,73,87.0,38829,82,116366,85.0,tt12818328,81.6,4.0
375,ordinary people,1980,drama,english,81.0,77.0,58996,86.0,85.0,58,84.0,31908,80,49068,77.0,tt0081283,81.5,1.0
376,oslo august 31st,2011,drama,norwegian,82.0,76.0,30999,84.0,83.0,61,80.0,31339,82,83204,84.0,tt1736633,81.5,3.0
377,pride,2014,drama comedy,english,80.0,78.0,63396,79.0,77.0,99,86.0,49080,82,114521,87.0,tt3169706,81.5,9.0
378,kramer vs kramer,1979,drama,english,81.0,78.0,160104,77.0,81.0,60,85.0,76383,82,141869,86.0,tt0079417,81.5,4.0
