rank,title,year,genre,language,flickmetrix_score,imdb_100,imdb_votes,metacritic,critic_rating_rt,critic_reviews,audience_rating,audience_reviews,letterboxd,letterboxd_votes,google_score,imdbid,custom_score,score_diff
43,the third man,1949,thriller mystery,english,88.0,81.0,188727,97.0,95.0,81,89.0,86513,86,151068,83.0,tt0041959,88.5,6.0
44,star wars episode iv  a new hope,1977,adventure action science fiction,english,88.0,86.0,1498734,90.0,89.0,99,92.0,1163061,84,1758149,90.0,tt0076759,88.5,3.0
45,12 years a slave,2013,drama history,english,88.0,81.0,761724,96.0,91.0,244,87.0,278959,84,554833,91.0,tt2024544,88.33,4.0
46,saving private ryan,1998,drama history war,english,88.0,86.0,1559687,91.0,87.0,91,91.0,1004841,84,1024759,91.0,tt0120815,88.33,4.0
47,wall·e,2008,animation family science fiction,english,88.0,84.0,1252363,95.0,88.0,152,87.0,1014430,84,1843873,92.0,tt0910970,88.33,1.0
48,alien,1979,horror science fiction,english,88.0,85.0,1009344,89.0,91.0,139,91.0,764014,86,1368049,88.0,tt0078748,88.33,0.0
49,the 400 blows,1959,drama,french,87.0,80.0,131044,87.0,95.0,66,90.0,98670,86,218210,90.0,tt0053198,88.2,5.0
50,the silence of the lambs,1991,crime drama thriller,english,87.0,86.0,1622286,86.0,88.0,112,92.0,1226259,86,1981219,91.0,tt0102926,88.17,4.0
51,back to the future,1985,adventure comedy science fiction,english,88.0,85.0,1367504,87.0,89.0,79,91.0,1322805,84,1773760,93.0,tt0088763,88.17,2.0
52,taxi driver,1976,crime drama,english,87.0,82.0,970967,94.0,92.0,103,90.0,719732,82,1635079,88.0,tt0075314,88.0,2.0
53,touch of evil,1958,crime thriller mystery drama,english,87.0,79.0,112253,99.0,92.0,64,88.0,49794,84,86695,86.0,tt0052311,88.0,4.0
54,the pianist,2002,drama war,english,87.0,85.0,961695,85.0,83.0,104,93.0,457473,88,864540,94.0,tt0253474,88.0,10.0
55,toy story,1995,animation adventure family comedy,english,88.0,83.0,1115033,96.0,92.0,73,89.0,1290101,82,1651887,86.0,tt0114709,88.0,3.0
56,raiders of the lost ark,1981,adventure action,english,88.0,84.0,1068716,86.0,91.0,105,91.0,869164,84,949820,91.0,tt0082971,87.83,0.0
